name,scimark.fft.large,scimark.lu.large,scimark.monte_carlo,scimark.sor.large,scimark.sparse.large,sunflow
HULL111,46.240038494546909,11.08122397851772,39.161152907346789,27.399294767802232,33.204084766905424,54.386452190790742
HULL112,45.646911814218434,10.946772580774436,39.264849112660158,27.173043217333927,33.044891838271056,53.899556352631762
HULL113,38.119821182134686,9.7514523264262163,37.843335257729173,27.247182163880257,32.941492005083823,52.724396584055377
HULL117,45.979545901569338,11.195013955308248,39.337040758256748,27.870581365882877,33.721278436023312,53.916664202927947
HULL118,28.364829579253836,5.657323362326875,36.262347780848721,24.699044421194085,17.400130567919213,54.752632783882788
HULL119,24.997637181269369,5.0217985967886012,36.86441300748367,25.989619452809333,18.13906510974692,51.789903312601659
HULL120,27.170538941711659,5.4111423382724491,38.447912395758117,26.28062737064289,17.34831687574442,43.172233255779616
HULL121,30.255998165253931,5.7764769196378536,39.263514368204817,27.372818684155774,18.540739813594694,50.578532792085255
HULL123,27.673936325156792,5.674783161625693,39.49041951385221,26.485466803538735,18.081045469125861,53.11049205310205
HULL126,29.902295487539636,5.7777605144204784,39.082524762328852,27.60448297269366,18.689278087091299,54.606929065302438
HULL127,29.632712081860863,5.7047248972328131,39.348951013442516,27.539155568553433,16.446603104598307,53.849537440145738
HULL13,34.10566583644696,6.338185041231676,48.073178166430708,32.1737494244639,19.919890667820489,68.690906160749591
HULL131,34.108033844035795,6.3409899931989893,55.962692377318319,32.947600441191973,19.555937803025468,83.666960223192518
HULL132,34.547170934637258,6.3537984237093337,57.648328978929385,34.819882950226614,20.040361871140679,83.241076158760436
HULL133,34.543090933736828,6.5406815539381444,54.945228927682621,32.91018323920504,20.357695174314344,75.916224758012049
HULL134,34.689640070450785,6.5713271571575866,58.206987695851588,34.807500444056615,19.75129919635441,83.317099088900903
HULL135,35.327363004725768,6.5279170595279048,46.868099958893715,32.852005942437387,19.97502403277376,76.62726199888462
HULL14,35.988925339621929,6.7466903397785183,59.046823057217935,36.360416430309414,21.214487039277245,86.114535249554891
HULL140,30.153333954227968,5.77032661757932,38.958902919455582,27.607620012759995,18.677841232949213,54.153713190954726
HULL15,32.160282741182364,6.3823269869819459,57.037646428441001,30.161555295639104,19.094019071810187,85.140593027008791
HULL16,34.593827910270043,6.4418485277866582,58.387905183282008,30.534351847624521,19.540926935026135,84.971231803721238
