"","name","scimark.fft.large","scimark.lu.large","scimark.monte_carlo","scimark.sor.large","scimark.sparse.large","sunflow"
"BEDSONTC114","BEDSONTC114",12,19,115,130,18,112
"BEDSONTC115","BEDSONTC115",19,17,123,125,17,109
"BEDSONTC116","BEDSONTC116",8,7,129,121,10,130
"BEDSONTC117","BEDSONTC117",4,9,110,117,6,128
"BEDSONTC118","BEDSONTC118",11,14,121,120,11,114
"BEDSONTC119","BEDSONTC119",129,129,116,127,129,120
"BEDSONTC120","BEDSONTC120",3,15,122,115,4,126
"BEDSONTC121","BEDSONTC121",10,6,113,118,5,121
"BEDSONTC122","BEDSONTC122",15,12,117,119,9,117
"BEDSONTC123","BEDSONTC123",17,18,120,129,19,115
"BEDSONTC124","BEDSONTC124",16,11,127,122,15,113
"BEDSONTC125","BEDSONTC125",130,130,126,128,130,122
"BEDSONTC126","BEDSONTC126",58,78,34,39,64,14
"BEDSONTC127","BEDSONTC127",51,74,43,36,56,78
"BEDSONTC128","BEDSONTC128",50,87,76,44,67,58
"BEDSONTC129","BEDSONTC129",37,93,44,48,82,46
"BEDSONTC130","BEDSONTC130",29,55,45,34,54,52
"BEDSONTC131","BEDSONTC131",24,61,42,43,65,17
"BEDSONTC132","BEDSONTC132",93,46,48,38,71,28
"BEDSONTC133","BEDSONTC133",80,64,47,42,49,47
