name,scimark.fft.large,scimark.lu.large,scimark.monte_carlo,scimark.sor.large,scimark.sparse.large,sunflow
OLDLIB031,44.225292378425017,10.191984687506546,72.249959819188717,60.485724456155083,30.790088358635973,88.049829207744821
OLDLIB032,42.048012810869594,9.7675749241086969,68.244091028290384,53.125787536002242,28.459007018908917,79.037751660148203
OLDLIB033,47.664050389855561,10.251530964443569,73.681455055167703,59.750076745200865,31.281660413396626,83.617150178625181
OLDLIB034,47.698660509063131,10.344629645403453,74.825174130321258,60.962205379818464,31.252531897253874,78.673302893518326
OLDLIB035,45.744794100477243,10.170645630564008,73.478060107163458,60.006194321062686,30.696776287328152,85.890774987375082
OLDLIB036,47.402860274375655,10.363136003894033,75.975917686311831,60.943252912652696,31.446587717663171,89.801881553291793
OLDLIB037,44.379396147933647,10.118127053925734,72.112516953836803,58.204934897358861,30.400844654792145,84.499361297543189
OLDLIB038,47.862018293253541,10.281377561012516,75.103227671539742,60.620351768259518,31.366361561139652,86.977703657553775
OLDLIB039,44.437185733592045,10.302533410872785,76.217017100360266,60.576875405608476,31.540473313927201,90.405265444226757
OLDLIB040,44.991589336826536,8.2055862683306717,72.426873785409583,54.981119690188358,29.824349484778104,85.733238376132476
OLDLIB041,40.175271879676551,9.7052813897876185,73.917436010542502,58.613384911792821,30.160275791656431,76.51277615759291
OLDLIB042,47.212355441950095,10.177150965793082,75.216434600401598,59.545454934169129,30.854336461162923,87.521946920496418
OLDLIB049,43.048126426879243,10.012646367517645,39.443608974671378,27.667695623019668,30.378057472850383,54.584705065677142
OLDLIB050,39.983056489011879,9.8844836432208432,36.818352126059871,25.721980396090743,29.57581700622795,43.803825816947267
OLDLIB053,41.651082044827099,10.054361487381207,39.410400835779299,27.671660449538336,30.162137253473531,52.913770364318651
OLDLIB055,38.93110037825074,10.025072706711253,39.419490987664773,27.523139505413752,30.437440090698924,53.065918447428331
OLDLIB056,39.655650844429253,10.029714179780006,39.529805599932558,27.671185892603816,30.326677014325551,55.083609789890886
OLDLIB060,41.920017211972279,10.070106575417928,39.44707235878726,27.722528376304748,30.406492433659821,56.040744436728858
OLDLIB069,42.297457413873829,10.019488536371298,39.375285177948669,27.643667946900827,30.042243072120392,54.940973309155694
OLDLIB070,41.046712503174874,10.043739697253491,38.023535532583495,27.439826026991692,30.131549582923395,55.394899712704941
OLDLIB071,40.624219197441782,10.038770088219522,39.214562253392927,27.733409716733245,30.274174364223903,53.659464898560095
OLDLIB072,40.514855662942622,10.053428244130954,39.407687336780882,27.755855939669917,30.394605983922943,52.973297701079744
OLDLIB077,41.158204782337954,10.015149136274029,39.282945496618126,27.379321144598563,30.009893475592371,55.14989320423841
OLDLIB083,39.802579644658053,10.049502236781581,39.515047394303537,27.671940440967546,30.336500151779212,52.543434193869558
OLDLIB084,40.720140318273124,9.9139907177762989,36.039985530348446,26.106175878791873,29.604924203129897,23.026753730673249
OLDLIB087,41.725350494094137,9.8924975586335329,36.857165413524889,25.862540341017137,29.678099142900656,50.603032723511163
OLDLIB088,40.578989390204825,10.002016479334392,39.251731352106233,27.70341552812609,30.351758305781949,53.797566506074574
